# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1778169989702000000,1778170017939000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1778169989702000000,1778170017939000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1778169989702000000,1778170017939000000,0
jps.global.initialize.library.bridges.ms,1778169989702000000,1778170017939000000,0
workspaceModel.mutableEntityStorage.entities.ms,1778169989702000000,1778170017939000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1778169989702000000,1778170017939000000,0
jps.save.global.entities.ms,1778169989702000000,1778170017939000000,90
workspaceModel.mutableEntityStorage.instances.count,1778169989702000000,1778170017939000000,5
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1778169989702000000,1778170017939000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1778169989702000000,1778170017939000000,0
workspaceModel.global.updates.count,1778169989702000000,1778170017939000000,1
workspaceModel.save.cache.to.file.ms,1778169989702000000,1778170017939000000,790
jps.global.get.library.ms,1778169989702000000,1778170017939000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1778169989702000000,1778170017939000000,3
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1778169989702000000,1778170017939000000,0
AWTEventQueue.dispatchTimeTotalNS,1778169989702000000,1778170017939000000,2052695349
NonBlockingReadAction.finalizedExecutionTimeUs,1778169989702000000,1778170017939000000,113473
NonBlockingReadAction.failedExecutionsCount,1778169989702000000,1778170017939000000,0
NonBlockingReadAction.finalizedExecutionsCount,1778169989702000000,1778170017939000000,19
NonBlockingReadAction.failedExecutionTimeUs,1778169989702000000,1778170017939000000,0
